編號,專案,日期,月,日,星期,是否假日,時長,機位數量,工作性質,花絮,視訊切換,視訊連線,PA音控,大場分小場,導播人數,攝影人數,音控人數,直播人數,機動人數,花絮人數,視訊切換人數,視訊連線人數,人數
131,先勢 x OXO,2024/6/30,6,30,7,1,4,1,直播,1,0,0,0,0,0,1,1,1,0,0,0,0,3
132,拾酷 x 中央社 _ 中央社100週年社慶酒會@現場轉播,2024/7/1,7,1,1,0,11,0,錄製,0,0,0,0,0,1,0,1,0,1,0,0,0,3
133,弈樂科技,2024/7/3,7,3,3,0,6,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
134,台北文創_名家會客室,2024/7/6,7,6,6,1,5,2,直播,0,0,0,0,0,1,2,0,1,0,0,0,0,4
135,博思 x SYM(進場),2024/7/11,7,11,4,0,6,3,進場,0,0,0,0,0,1,2,1,2,0,0,0,0,6
136,博思 x SYM,2024/7/12,7,12,5,0,8,3,直播,0,0,0,0,0,1,2,1,2,1,0,0,0,7
137,高德美(進場)1,2024/7/13,7,13,6,1,4,2,進場,0,0,0,1,0,0,1,1,0,1,0,1,0,4
138,高德美1,2024/7/13,7,13,6,1,10.5,2,錄製,0,0,0,1,0,0,2,1,0,0,0,1,0,4
139,拾酷進場,2024/7/18,7,18,4,0,2.5,1,進場,0,1,1,0,0,0,1,1,0,0,0,1,1,4
140,拾酷,2024/7/19,7,19,5,0,7.5,1,錄製,0,1,1,0,0,0,1,1,0,0,0,1,1,4
141,赫索測試,2024/7/20,7,20,6,1,4,0,進場,0,1,0,0,0,0,0,0,0,0,0,2,0,2
142,BN x FC 未來舞台,2024/7/26,7,26,5,0,5.5,2,直播,0,0,1,1,0,1,2,1,1,0,0,0,0,5
143,BN x FC 開放舞台,2024/7/26,7,26,5,0,5,3,直播,0,0,0,1,0,1,2,1,1,0,0,0,0,5
144,BN x FC 創新舞台D1,2024/7/26,7,26,5,0,10,2,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
145,赫索 x 職籃選秀,2024/7/23,7,23,2,0,8,0,錄製,0,1,0,0,0,0,0,0,0,0,0,2,0,2
146,iThome進場,2024/7/22,7,22,1,0,9,3,進場,0,0,0,0,1,0,0,1,2,2,0,0,0,5
147,iThome x AWS,2024/7/23,7,23,2,0,13,4,直播,0,0,0,0,1,1,4,1,1,2,0,0,0,9
148,BN x 創新舞台D2,2024/7/26,7,26,5,0,10,1,直播,0,0,0,0,0,0,1,0,1,0,0,0,0,2
149,BN x 夏日舞台D1,2024/7/26,7,26,5,0,10,1,直播,0,0,0,0,0,0,1,0,1,1,0,0,0,3
150,BN x 夏日舞台D2,2024/7/27,7,27,6,1,5.5,1,直播,0,0,0,0,0,0,1,0,1,1,0,0,0,3
